File Name,Processing Time (s)
rm.txt,404.73424100875854
bg.txt,217.25608563423157
mv.txt,423.460871219635
chmod.txt,248.3356249332428
zip.txt,185.63560009002686
killall.txt,448.23208928108215
ping.txt,346.51537704467773
grep.txt,461.6242835521698
ip.txt,372.9925425052643
unzip.txt,237.38470792770386
gcc.txt,443.08628821372986
hostname.txt,452.8179740905762
g++.txt,17275.705925941467
sort.txt,1145.9617745876312
touch.txt,270.5366804599762
gzip.txt,247.14979195594788
python.txt,1472.585597038269
tar.txt,1171.734525680542
pwd.txt,4077.4103014469147
ls.txt,600.1159760951996
gunzip.txt,347.18497705459595
kill.txt,225.68745470046997
awk.txt,290.5063388347626
cd.txt,336.8068063259125
curl.txt,260.15276432037354
wget.txt,348.4604365825653
chown.txt,659.0232644081116
fg.txt,196.5849449634552
cat.txt,261.23275542259216
passwd.txt,371.48871970176697
ifconfig.txt,183.98945093154907
cp.txt,440.39248919487
su.txt,265.23821353912354
du.txt,496.882764339447
uname.txt,296.56653451919556
sudo.txt,395.591748714447
cut.txt,276.0154309272766
find.txt,437.4294023513794
dig.txt,186.72872233390808
sed.txt,507.3262047767639
mkdir.txt,172.50942826271057
netstat.txt,170.5645580291748
top.txt,114.39783430099487
ps.txt,203.6266224384308
nohup.txt,236.60711073875427
df.txt,424.6590344905853
nslookup.txt,179.10714054107666
uniq.txt,362.76382517814636
